학교명,사업유형,세부사업코드_및_명칭,재원구분,교부금액
"북내초등학교","필수","111. 여주형 미래교육","시청 보조금",9000000
"금당초등학교","필수","111. 여주형 미래교육","시청 보조금",4000000
"문장초등학교","필수","111. 여주형 미래교육","시청 보조금",4000000
"매류초등학교","필수","111. 여주형 미래교육","시청 보조금",4000000
"송촌초등학교","필수","111. 여주형 미래교육","시청 보조금",4000000
"이포초등학교","필수","111. 여주형 미래교육","시청 보조금",4000000
"흥천초등학교","필수","111. 여주형 미래교육","시청 보조금",4000000
"송삼초등학교","필수","111. 여주형 미래교육","시청 보조금",4000000
"오산초등학교","필수","111. 여주형 미래교육","시청 보조금",4000000
"창명여자중학교","필수","111. 여주형 미래교육","시청 보조금",4000000
"이포중학교","필수","111. 여주형 미래교육","시청 보조금",4000000
"흥천중학교","필수","111. 여주형 미래교육","시청 보조금",4000000
"강천초등학교","필수","111. 여주형 미래교육","시청 보조금",5000000
"능북초등학교","필수","111. 여주형 미래교육","시청 보조금",5000000
"능서초등학교","필수","111. 여주형 미래교육","시청 보조금",5000000
"대신초등학교","필수","111. 여주형 미래교육","시청 보조금",5000000
"상품초등학교","필수","111. 여주형 미래교육","시청 보조금",5000000
"점동초등학교","필수","111. 여주형 미래교육","시청 보조금",5000000
"강천중학교","필수","111. 여주형 미래교육","시청 보조금",5000000
"상품중학교","필수","111. 여주형 미래교육","시청 보조금",5000000
"점동중학교","필수","111. 여주형 미래교육","시청 보조금",5000000
"대신중학교","필수","111. 여주형 미래교육","시청 보조금",5000000
"세정중학교","필수","111. 여주형 미래교육","시청 보조금",5000000
"천남초등학교","필수","111. 여주형 미래교육","시청 보조금",6000000
"연라초등학교","필수","111. 여주형 미래교육","시청 보조금",6000000
"이포고등학교","필수","111. 여주형 미래교육","시청 보조금",6000000
"점동고등학교","필수","111. 여주형 미래교육","시청 보조금",8100000
"점봉초등학교","필수","111. 여주형 미래교육","시청 보조금",10100000
"여강중학교","필수","111. 여주형 미래교육","시청 보조금",10100000
"여주제일중학교","필수","111. 여주형 미래교육","시청 보조금",10100000
"경기관광고등학교","필수","111. 여주형 미래교육","시청 보조금",10100000
"대신고등학교","필수","111. 여주형 미래교육","시청 보조금",10100000
"여강고등학교","필수","111. 여주형 미래교육","시청 보조금",10100000
"가남초등학교","필수","111. 여주형 미래교육","시청 보조금",12200000
"여주자영농업고등학교","필수","111. 여주형 미래교육","시청 보조금",12200000
"여주초등학교","필수","111. 여주형 미래교육","시청 보조금",14200000
"여흥초등학교","필수","111. 여주형 미래교육","시청 보조금",14200000
"여주중학교","필수","111. 여주형 미래교육","시청 보조금",14200000
"여주제일고등학교","필수","111. 여주형 미래교육","시청 보조금",14200000
"세종고등학교","필수","111. 여주형 미래교육","시청 보조금",14200000
"여주고등학교","필수","111. 여주형 미래교육","시청 보조금",14200000
"여흥중학교","필수","111. 여주형 미래교육","시청 보조금",16300000
"오학초등학교","필수","111. 여주형 미래교육","시청 보조금",20400000
"세종중학교","필수","111. 여주형 미래교육","시청 보조금",20400000
"세종초등학교","필수","111. 여주형 미래교육","시청 보조금",24600000
"가남초등학교","필수","121. 지역협력 방과후학교","시청 보조금",40528000
"세종초등학교","필수","121. 지역협력 방과후학교","시청 보조금",52920000
"여주초등학교","필수","121. 지역협력 방과후학교","시청 보조금",24306000
"여흥초등학교","필수","121. 지역협력 방과후학교","시청 보조금",41760000
"오학초등학교","필수","121. 지역협력 방과후학교","시청 보조금",47166000
"점봉초등학교","필수","121. 지역협력 방과후학교","시청 보조금",30320000
"강천중학교","필수","121. 지역협력 방과후학교","시청 보조금",7000000
"상품중학교","필수","121. 지역협력 방과후학교","시청 보조금",7000000
